Longitudinal Acceleration (m/s^2),Lateral Acceleration (m/s^2),Velocity (m/s)
7.638584452685609,-4.497890145186003,2.0
7.4586889039026225,-5.579232684843721,2.0
7.240692906518996,-6.6321447336140205,2.0
6.985707318168246,-7.651260893045402,2.0
6.695031486960682,-8.631387980791725,2.0
6.370146630303276,-9.567531493879061,2.0
6.012708286955281,-10.454921059548013,2.0
5.624537880782199,-11.289034743979816,2.0
5.207613439197274,-12.065622095034566,2.0
4.764059513587193,-12.780725801581031,2.0
4.296136353085203,-13.430701859047092,2.0
3.806228386859641,-14.012238138431737,2.0
3.29683207360944,-14.522371264155268,2.0
2.7705431801828437,-14.958501714741965,2.0
2.230043554144544,-15.318407069385689,2.0
1.678087457695232,-15.600253332896859,2.0
1.1174875325827645,-15.802604281321564,2.0
0.5511004675245108,-15.924428780609624,2.0
-0.01818755882352941,-15.965106041037336,2.0
-1.0803738424919598,-15.965106041037336,2.0
-2.1371474683336813,-15.924428780609624,2.0
-3.183123360185604,-15.802604281321564,2.0
-4.212971464661984,-15.600253332896859,2.0
-5.2214439118847,-15.318407069385689,2.0
-6.203401757425277,-14.958501714741965,2.0
-7.153841169187713,-14.522371264155268,2.0
-8.067918925789872,-14.012238138431737,2.0
-8.94097709650948,-13.430701859047092,2.0
-9.768566777031376,-12.780725801581031,2.0
-10.54647076004416,-12.065622095034566,2.0
-11.270725025161939,-11.289034743979816,2.0
-11.937638938663596,-10.454921059548013,2.0
-12.543814060116281,-9.567531493879061,2.0
-13.086161460048835,-8.631387980791725,2.0
-13.561917460428349,-7.651260893045402,2.0
-13.968657717729922,-6.6321447336140205,2.0
-14.304309576835548,-5.579232684843721,2.0
-14.567162632809522,-4.497890145186003,2.0
-14.755877446729905,-3.3936273883570762,2.0
-14.869492371162268,-2.2720714842460774,2.0
-14.907428450494573,-1.1389376246567342,2.0
-14.869492371162268,0.0,2.0
-14.755877446729905,1.1389376246567342,2.0
-14.567162632809522,2.2720714842460774,2.0
-14.304309576835548,3.3936273883570762,2.0
-13.968657717729922,4.497890145186003,2.0
-13.561917460428349,5.579232684843721,2.0
-13.086161460048833,6.6321447336140205,2.0
-12.54381406011628,7.6512608930454,2.0
-11.937638938663598,8.631387980791724,2.0
-11.270725025161939,9.567531493879063,2.0
-10.54647076004416,10.454921059548013,2.0
-9.768566777031376,11.289034743979816,2.0
-8.94097709650948,12.065622095034566,2.0
-8.067918925789872,12.780725801581031,2.0
-7.153841169187713,13.430701859047092,2.0
-6.203401757425274,14.012238138431737,2.0
-5.2214439118847,14.522371264155266,2.0
-4.212971464661984,14.958501714741965,2.0
-3.183123360185604,15.318407069385689,2.0
-2.1371474683336813,15.600253332896859,2.0
-1.0803738424919598,15.802604281321564,2.0
-0.01818755882352941,15.924428780609624,2.0
-0.043320235294117646,16.038396844144888,4.0
0.5281547553636733,15.997532847150735,4.0
1.0967176404628523,15.875149089730094,4.0
1.659471153867234,15.671869211457912,4.0
2.213547632667159,15.38872907999795,4.0
2.7561236301323486,15.0271715125586,4.0
3.284434303349267,14.589038923627124,4.0
3.7957875022268417,14.076563936447746,4.0
4.287577488076232,13.492358006085354,4.0
4.7572982118579,12.839398112049095,4.0
5.202556084433074,12.12101158828718,4.0
5.621082173745351,11.340859167855774,4.0
6.010743766778355,10.502916328662463,4.0
6.369555237372418,9.6114530353421,4.0
6.695688164520339,8.671011980495768,4.0
6.987480649581729,7.686385436170594,4.0
7.243445784937535,6.662590833539863,4.0
7.462279230930444,5.60484519522386,4.0
7.642865862480787,4.518538550538455,4.0
7.784285451508344,3.4092064691412034,4.0
7.885817356203701,2.282501853037248,4.0
7.9469441932537235,1.1441661306864426,4.0
7.9673544743083315,0.0,4.0
7.9469441932537235,-1.1441661306864426,4.0
7.885817356203701,-2.282501853037248,4.0
7.784285451508344,-3.4092064691412034,4.0
7.642865862480787,-4.518538550538455,4.0
7.462279230930444,-5.60484519522386,4.0
7.243445784937535,-6.662590833539863,4.0
6.9874806495817285,-7.686385436170596,4.0
6.695688164520338,-8.67101198049577,4.0
6.369555237372419,-9.611453035342098,4.0
6.010743766778355,-10.502916328662463,4.0
5.621082173745351,-11.340859167855774,4.0
5.202556084433074,-12.12101158828718,4.0
4.7572982118579,-12.839398112049095,4.0
4.287577488076232,-13.492358006085354,4.0
3.7957875022268417,-14.076563936447746,4.0
3.284434303349266,-14.589038923627125,4.0
2.7561236301323486,-15.0271715125586,4.0
2.213547632667159,-15.38872907999795,4.0
1.659471153867234,-15.671869211457912,4.0
1.0967176404628523,-15.875149089730094,4.0
0.5281547553636733,-15.997532847150735,4.0
-0.043320235294117646,-16.038396844144888,4.0
-1.1100340592131168,-16.038396844144888,4.0
-2.1713121539980955,-15.997532847150735,4.0
-3.2217464897447456,-15.875149089730094,4.0
-4.255984293859202,-15.671869211457912,4.0
-5.268755327560196,-15.38872907999795,4.0
-6.254898741807886,-15.0271715125586,4.0
-7.209389375807555,-14.589038923627125,4.0
-8.127363364077171,-14.076563936447746,4.0
-9.004142921590976,-13.492358006085354,4.0
-9.835260180699727,-12.839398112049095,4.0
-10.616479958360136,-12.12101158828718,4.0
-11.343821337656834,-11.340859167855774,4.0
-12.01357795364248,-10.502916328662463,4.0
-12.62233688012397,-9.611453035342098,4.0
-13.16699602115198,-8.67101198049577,4.0
-13.644779918590876,-7.686385436170596,4.0
-14.05325389521718,-6.662590833539863,4.0
-14.390336461276611,-5.60484519522386,4.0
-14.654309921278772,-4.518538550538455,4.0
-14.843829126979617,-3.4092064691412034,4.0
-14.957928331948589,-2.282501853037248,4.0
-14.99602611279104,-1.1441661306864426,4.0
-14.957928331948589,0.0,4.0
-14.843829126979617,1.1441661306864426,4.0
-14.654309921278772,2.282501853037248,4.0
-14.390336461276611,3.4092064691412034,4.0
-14.05325389521718,4.518538550538455,4.0
-13.644779918590876,5.60484519522386,4.0
-13.166996021151979,6.662590833539863,4.0
-12.622336880123969,7.686385436170594,4.0
-12.013577953642482,8.671011980495768,4.0
-11.343821337656834,9.6114530353421,4.0
-10.616479958360136,10.502916328662463,4.0
-9.835260180699727,11.340859167855774,4.0
-9.004142921590976,12.12101158828718,4.0
-8.127363364077171,12.839398112049095,4.0
-7.209389375807555,13.492358006085354,4.0
